City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
166,Pinerolo,IT,44.88,7.35,84.0,61,19,3.96,light rain,0.6,0.0
167,Upernavik,GL,72.79,-56.15,41.52,82,0,7.92,clear sky,0.0,0.0
168,Kuytun,RU,54.34,101.5,63.7,71,43,4.38,scattered clouds,0.0,0.0
169,Bambous Virieux,MU,-20.34,57.76,73.0,68,75,14.99,shower rain,0.0,0.0
170,Sao Filipe,CV,14.9,-24.5,75.81,79,46,10.13,scattered clouds,0.0,0.0
171,Linxia,CN,35.6,103.21,56.77,79,96,3.36,overcast clouds,0.0,0.0
172,Provideniya,RU,64.38,-173.3,50.02,86,10,6.51,clear sky,0.0,0.0
173,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,64,40,11.41,scattered clouds,0.0,0.0
174,Broome,US,42.25,-75.83,77.0,78,75,8.05,broken clouds,0.0,0.0
175,Constitucion,CL,-35.33,-72.42,48.43,73,100,5.41,overcast clouds,0.0,0.0
176,Benghazi,LY,32.12,20.07,80.37,62,0,14.47,clear sky,0.0,0.0
177,Culpeper,US,38.5,-77.97,84.0,65,40,2.75,scattered clouds,0.0,0.0
178,Fortuna,US,40.6,-124.16,57.0,93,90,6.93,overcast clouds,0.0,0.0
179,Goksun,TR,38.02,36.5,93.2,44,20,25.28,few clouds,0.0,0.0
180,Port Hawkesbury,CA,45.62,-61.35,64.0,100,90,6.93,mist,0.0,0.0
181,Itoman,JP,26.12,127.67,84.2,83,20,5.82,few clouds,0.0,0.0
182,Mikkeli,FI,61.69,27.27,55.99,98,100,3.0,moderate rain,3.2,0.0
183,Kralendijk,BQ,12.15,-68.27,86.0,74,75,18.34,broken clouds,0.0,0.0
184,Ostrovnoy,RU,68.05,39.51,64.6,50,20,13.98,few clouds,0.0,0.0
185,Cherskiy,RU,68.75,161.3,46.17,96,37,11.32,scattered clouds,0.0,0.0
186,Asfi,MA,32.3,-9.24,78.24,59,0,19.75,clear sky,0.0,0.0
187,Jambusar,IN,22.05,72.8,89.6,70,40,9.17,scattered clouds,0.0,0.0
188,Cidreira,BR,-30.18,-50.21,56.95,95,100,6.11,overcast clouds,0.0,0.0
189,Mayo,US,38.89,-76.51,81.0,78,1,5.7,clear sky,0.0,0.0
190,Asau,RO,46.43,26.4,87.8,31,0,16.11,clear sky,0.0,0.0
191,Zhanaozen,KZ,43.3,52.8,99.9,11,49,9.26,scattered clouds,0.0,0.0
192,Laela,TZ,-8.57,32.05,79.7,32,79,3.71,broken clouds,0.0,0.0
193,Vestmanna,FO,62.16,-7.17,51.8,81,61,10.29,broken clouds,0.0,0.0
194,Bocaiuva,BR,-17.11,-43.81,73.4,49,20,6.93,few clouds,0.0,0.0
195,Nakambala,ZM,-15.83,27.78,84.94,27,34,6.78,scattered clouds,0.0,0.0
196,Clyde River,CA,70.47,-68.59,53.6,58,20,8.05,few clouds,0.0,0.0
197,Chernyshevskiy,RU,63.01,112.47,65.95,87,7,9.31,light rain,0.1,0.0
198,Argelia,CO,2.26,-77.25,71.38,67,21,1.74,light rain,0.2,0.0
199,Chegutu,ZW,-18.13,30.14,81.77,27,2,7.7,clear sky,0.0,0.0
200,Dryden,CA,49.78,-92.75,62.6,77,90,5.82,overcast clouds,0.0,0.0
201,Villa Sandino,NI,12.05,-84.99,78.8,78,40,4.7,scattered clouds,0.0,0.0
202,Iwanai,JP,42.97,140.51,61.88,88,100,3.76,overcast clouds,0.0,0.0
203,Coahuayana,MX,18.73,-103.68,73.4,94,40,1.74,fog,0.0,0.0
204,Kutum,SD,14.2,24.67,82.24,45,60,2.84,broken clouds,0.0,0.0
205,Hasaki,JP,35.73,140.83,80.6,83,75,19.46,broken clouds,0.0,0.0
206,Coffs Harbour,AU,-30.3,153.13,62.6,82,90,4.7,overcast clouds,0.0,0.0
207,Ketchikan,US,55.34,-131.65,53.6,93,90,5.82,light rain,0.0,0.0
208,Maniitsoq,GL,65.42,-52.9,44.15,77,19,8.93,few clouds,0.0,0.0
209,Victoria,HK,22.29,114.16,86.0,70,71,10.0,broken clouds,0.0,0.0
210,Bengkulu,ID,-3.8,102.27,79.16,86,97,3.98,light rain,0.3,0.0
211,Altay,CN,47.87,88.12,63.0,62,100,1.57,overcast clouds,0.0,0.0
212,Nemuro,JP,43.32,145.57,58.1,92,100,10.25,overcast clouds,0.0,0.0
213,Hovd,MN,48.01,91.64,72.61,42,100,2.55,overcast clouds,0.0,0.0
214,Urumqi,CN,43.8,87.6,78.8,39,20,11.18,few clouds,0.0,0.0
215,Kupang,ID,-10.17,123.58,77.11,79,86,12.1,overcast clouds,0.0,0.0
216,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,80.28,91,10,1.9,moderate rain,1.9,0.0
217,Bardiyah,LY,31.76,25.09,83.1,48,0,16.42,clear sky,0.0,0.0
218,Pangnirtung,CA,66.15,-65.71,52.45,49,50,3.29,scattered clouds,0.0,0.0
219,Tazovskiy,RU,67.47,78.7,58.39,57,6,12.71,clear sky,0.0,0.0
220,Port Elizabeth,ZA,-33.92,25.57,53.6,87,75,25.28,light rain,0.0,0.0
221,Riyadh,SA,24.69,46.72,109.4,10,46,13.87,scattered clouds,0.0,0.0
222,Zabaykalsk,RU,49.63,117.32,67.37,71,91,11.16,light rain,0.2,0.0
223,Zigong,CN,29.34,104.78,74.95,91,100,4.27,overcast clouds,0.0,0.0
224,Cabildo,AR,-38.48,-61.9,46.99,51,100,5.01,overcast clouds,0.0,0.0
