City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Daru,PG,77.16,light rain,-9.08,143.21,New century hotel
232,Torbat-E Jam,IR,87.39,clear sky,35.24,60.62,ساختمان مسکونی فلورا
234,Soto La Marina,MX,84.0,broken clouds,23.77,-98.22,Hotel Chicago
235,Umm Kaddadah,SD,89.51,scattered clouds,13.6,26.69,
237,Muros,ES,82.99,clear sky,42.78,-9.06,Apartment Av. Castelao
240,Lufilufi,WS,78.01,light rain,-13.87,-171.6,Leuaina Beach Resort and Spa
241,Kavieng,PG,82.15,light rain,-2.57,150.8,Nusa Island Retreat
242,Nampula,MZ,84.2,scattered clouds,-15.12,39.27,Tacab Residencial
243,Solntsevo,RU,84.2,clear sky,51.42,36.75,
245,Banda Aceh,ID,81.66,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
246,Ewa Beach,US,78.8,overcast clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
248,Alyangula,AU,75.2,clear sky,-13.85,136.42,Groote Eylandt Lodge
249,Safakulevo,RU,82.98,overcast clouds,54.99,62.54,
250,Lorengau,PG,81.5,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
256,Bireun,ID,79.65,light rain,5.2,96.7,OYO 2303 Hotel Blang Raya
257,Trairi,BR,85.53,broken clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
258,Ratnagiri,IN,81.73,light rain,16.98,73.3,Hotel Landmark
259,Palmer,US,82.99,broken clouds,42.16,-72.33,Wedgewood Motel
261,Myitkyina,MM,75.58,moderate rain,25.38,97.4,Shwe Phyu Hotel
262,Amapa,BR,85.08,overcast clouds,1.0,-52.0,
266,Westport,US,78.01,overcast clouds,41.14,-73.36,The Westport Inn
269,Lekoni,GA,84.04,broken clouds,-1.58,14.26,Rendez-vous Des ChasseursD
271,Anahuac,MX,80.6,clear sky,27.23,-100.15,Rancho Guadalupe
274,Niquero,CU,84.27,overcast clouds,20.04,-77.58,
275,Tayu,ID,79.75,broken clouds,-6.54,111.05,Toko pakaian bu is Tayu
277,Celestun,MX,81.95,few clouds,20.87,-90.4,Posada Lilia
278,Malatya,TR,93.2,few clouds,38.5,38.0,
280,Hamilton,US,81.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
283,Afsin,TR,87.44,few clouds,38.25,36.91,Meka Royal Otel
286,Zenzeli,RU,93.67,light rain,45.92,47.05,"Gostinitsa ""Zvezdnaya"""
287,Estelle,US,87.01,broken clouds,29.85,-90.11,Comfort Inn Marrero - New Orleans West
290,Nurota,UZ,86.0,broken clouds,40.56,65.69,Guest House Ruslan Nurata & Tours
291,Twentynine Palms,US,88.0,clear sky,34.14,-116.05,Holiday Inn Express & Suites Twentynine Palms- Joshua Tree
294,Abonnema,NG,80.6,broken clouds,4.71,6.79,Corper's Lodge Obonoma
295,Nanakuli,US,78.01,overcast clouds,21.39,-158.15,Camp Palehua
297,Utete,TZ,80.78,scattered clouds,-7.99,38.76,River View Lodge
301,Santa Catalina,PH,80.42,moderate rain,9.33,122.86,
302,Merauke,ID,77.27,overcast clouds,-8.47,140.33,
303,Nagato,JP,75.2,light intensity shower rain,34.38,131.2,いそう庵
304,Russell,US,84.2,clear sky,32.35,-85.2,Macs
305,Talara,PE,78.8,scattered clouds,-4.58,-81.27,Hostal Oro Negro
307,Pizarro,CO,77.54,scattered clouds,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
309,Peniche,PT,79.0,clear sky,39.36,-9.38,Hotel Star inn Peniche
310,Isabela,PH,77.63,moderate rain,6.71,121.97,Isawad Resort
311,Bannu,PK,92.77,scattered clouds,32.99,70.6,Aamir Hotel Bannu
312,Moratuwa,LK,77.0,few clouds,6.77,79.88,Sa Mansion By Yoho
313,Soubre,CI,84.29,overcast clouds,5.79,-6.61,Hote Ivoire Soubre
315,Vanimo,PG,78.96,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
317,Robertsport,LR,77.45,light rain,6.75,-11.37,Kwepunha Retreat
318,Payyannur,IN,80.6,scattered clouds,12.1,75.2,"K K Residency, Payyanur | The Business Class Hotel"
320,Tiarei,PF,75.2,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
324,Svetlogorsk,BY,81.36,light rain,52.63,29.73,Hotel Svetlogorsk JBIK
325,Kabalo,CD,91.67,broken clouds,-6.05,26.92,
327,Galesong,ID,77.0,few clouds,-5.32,119.37,Sapriadi Appy
328,Sorong,ID,79.75,moderate rain,-0.88,131.25,The Waigo Hotel
330,Basco,PH,85.75,clear sky,20.45,121.97,Nathaniel's Lodge
335,Wanning,CN,82.72,overcast clouds,18.8,110.4,Paradise Hotel
337,Kahului,US,78.8,clear sky,20.89,-156.47,Maui Seaside Hotel
340,Manokwari,ID,80.89,light rain,-0.87,134.08,Swiss Belhotel Manokwari
341,Zhizdra,RU,78.53,clear sky,53.75,34.74,Salon Krasoty Morozovoy
342,Monrovia,LR,80.6,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
346,Agadir,MA,82.4,clear sky,30.42,-9.6,Iberostar Founty Beach
349,Pitimbu,BR,82.4,broken clouds,-7.47,-34.81,Reserva do Abiaí
350,Maragogi,BR,78.75,light rain,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
351,Eyl,SO,91.02,overcast clouds,7.98,49.82,Amiin Hotel
356,Krasnovishersk,RU,75.11,clear sky,60.41,57.08,Inn Serebryaniy rodnik
357,Chester,US,79.0,clear sky,40.13,-75.87,Holiday Inn Morgantown - Reading Area
358,Miri,MY,78.8,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
362,Teahupoo,PF,75.2,broken clouds,-17.83,-149.27,Vanira Lodge
366,Gornopravdinsk,RU,79.59,broken clouds,60.05,69.9,
367,Faya,SA,91.4,scattered clouds,18.39,42.45,مقبرة ال مجمل
368,Kyaikto,MM,80.98,moderate rain,17.3,97.02,သက်တန့်အိမ်
372,Labuhan,ID,78.46,broken clouds,-6.88,112.21,bador sepret
377,Bubaque,GW,79.3,moderate rain,11.28,-15.83,Casa Dora
378,Naron,ES,78.8,clear sky,43.52,-8.15,Marcial
380,Dabakala,CI,79.92,light rain,8.37,-4.43,Hôtel Campement
383,Isla Mujeres,MX,86.0,scattered clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
384,Kavaratti,IN,81.9,moderate rain,10.57,72.64,Bismillah Hotel And Lodging
386,Kande,TG,80.6,broken clouds,9.96,1.04,
387,Erenhot,CN,78.01,overcast clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
390,Puerto Cabezas,NI,84.2,haze,14.04,-83.39,Hotel Caribe
393,Nouadhibou,MR,78.8,clear sky,20.93,-17.03,El Medina
398,Ocean City,US,82.4,clear sky,39.28,-74.57,Biscayne Suites
400,Tevaitoa,PF,78.58,clear sky,-16.78,-151.5,Hôtel Raiatea Lodge
402,Mogadishu,SO,82.4,scattered clouds,2.04,45.34,Hotel Juba
405,Muli,MV,84.29,scattered clouds,2.92,73.57,Medhufushi Island Resort
406,Majene,ID,78.57,overcast clouds,-3.54,118.97,Kost Putri RABBANI
407,La Ciotat,FR,93.0,clear sky,43.17,5.6,ibis La Ciotat
408,Cohoes,US,82.0,broken clouds,42.77,-73.7,Hilton Garden Inn Troy
409,Yenagoa,NG,76.35,moderate rain,4.92,6.26,Amba Hotels Limited
